Product Name,Price,Ratings
Great Summit [Disco de Vinil],"R$154,38","4,7 de 5 estrelas"
Waltz for Debby,"R$151,40","4,5 de 5 estrelas"
Sunday At The Village Vanguard [LP],"R$162,96","4,7 de 5 estrelas"
Relaxin with the Miles Davis Quintet [Disco de Vinil],"R$184,52","4,6 de 5 estrelas"
Dark Magus [Disco de Vinil],"R$209,07","4,8 de 5 estrelas"
The K”ln Concert [2 LP],"R$251,91","4,7 de 5 estrelas"
Quiet Nights [Disco de Vinil],"R$210,78","4,3 de 5 estrelas"
The Very Best Of Diana Krall [Disco de Vinil],"R$273,29","4,6 de 5 estrelas"
Crescent,"R$189,69","4,6 de 5 estrelas"
Ballads,"R$182,55","4,6 de 5 estrelas"
Solo Monk,"R$220,52","4,7 de 5 estrelas"
Omara Portuondo (buena Vista Social Club Presents) [Disco de Vinil],"R$206,01","5,0 de 5 estrelas"
LP Importado - Smoke & Mirrors - Percussion Ensemble [Disco de Vinil],"R$192,39",-1
Savane [Disco de Vinil],"R$252,58","4,8 de 5 estrelas"
Simply Christmas [Disco de Vinil],"R$171,42","4,8 de 5 estrelas"
My Point Of View [Disco de Vinil],"R$175,41","4,8 de 5 estrelas"
Greatest Hits Live [Disco de Vinil] [Disco de Vinil],"R$155,07","4,8 de 5 estrelas"
Three Quartets [Disco de Vinil],"R$150,48","4,5 de 5 estrelas"
Complete Prestige 10'' Collection,"R$641,51","4,3 de 5 estrelas"
Hot [Disco de Vinil],"R$170,33","4,3 de 5 estrelas"
Devotion [Disco de Vinil],"R$144,81",-1
Two of a Mind,"R$202,95","4,5 de 5 estrelas"
Jazz Loves Disney 2 - A Kind Of Magic,"R$208,47","4,5 de 5 estrelas"
"London Collection, Vol. 3 [Disco de Vinil]","R$219,94",-1
Alone in San Francisco [Disco de Vinil],"R$218,25","4,7 de 5 estrelas"
Impressions [Disco de Vinil],"R$195,81","4,9 de 5 estrelas"
Allen Toussaint - American Tunes [Disco de Vinil],"R$726,85","4,8 de 5 estrelas"
Live In Montreal [Disco de Vinil],"R$217,81","4,6 de 5 estrelas"
Jazz At Massey Hall,"R$161,13","3,8 de 5 estrelas"
Hits [Disco de Vinil],"R$183,63","4,8 de 5 estrelas"
Arclight [Disco de Vinil],"R$211,11","4,8 de 5 estrelas"
First Time: The Count Meets The Duke [Disco de Vinil],"R$134,61","4,6 de 5 estrelas"
Day Breaks [Disco de Vinil],"R$245,71","4,3 de 5 estrelas"
Culcha Vulcha,"R$210,48","4,6 de 5 estrelas"
Space Is The Place [Disco de Vinil],"R$219,27","4,0 de 5 estrelas"
Collagically Speaking,"R$219,27","4,3 de 5 estrelas"
A Beautiful World,"R$243,11","5,0 de 5 estrelas"
Rebellion Sessions [Disco de Vinil],"R$161,18","5,0 de 5 estrelas"
Blue Maqams,"R$282,37","4,7 de 5 estrelas"
Blues and Ballads,"R$216,26","4,5 de 5 estrelas"
Alive In The East [Disco de Vinil],"R$214,54","5,0 de 5 estrelas"
The Groove Cubed [Disco de Vinil],"R$212,14","4,1 de 5 estrelas"
Fruit Stand / Snake Charmer [Disco de Vinil],"R$89,90",-1
Nat King Cole & Me [Disco de Vinil],"R$280,82","4,8 de 5 estrelas"
The Thing To Do [Disco de Vinil],"R$156,00","4,1 de 5 estrelas"
Don't Look Back [Disco de Vinil],"R$362,78",-1
Blue And Sentimental,"R$144,11","4,5 de 5 estrelas"
Portrait of Sheila [Disco de Vinil],"R$142,33","4,7 de 5 estrelas"
Return [Disco de Vinil],"R$154,31","4,7 de 5 estrelas"
Let 'Em Roll [Disco de Vinil],"R$151,83","4,3 de 5 estrelas"
redisCOVERed [Disco de Vinil],"R$201,76",-1
Fuchsia Swing Song [Disco de Vinil],"R$153,32","4,6 de 5 estrelas"
Let Your Light Shine on [Disco de Vinil],"R$333,72","4,7 de 5 estrelas"
Calypso + 1 Bonus Track,"R$133,59","4,3 de 5 estrelas"
Nicola Conte Presents Cosmic Forest [Disco de Vinil],"R$308,69","5,0 de 5 estrelas"
Sings The Duke Ellington Songbook [Disco de Vinil],"R$193,77","4,7 de 5 estrelas"
Song Of Innocence [Disco de Vinil],"R$212,13","4,0 de 5 estrelas"
Downtown Castles Can Never Block The Sun [Disco de Vinil],"R$165,21",-1
Music Is [Disco de Vinil],"R$286,59","5,0 de 5 estrelas"
Uncharted Territories [Disco de Vinil],"R$248,85","4,4 de 5 estrelas"
Nice N Easy [Disco de Vinil],"R$233,55","4,7 de 5 estrelas"
You're Driving Me Crazy,"R$177,56","4,5 de 5 estrelas"
Back To Rhythm,"R$190,71","3,0 de 5 estrelas"
At Onkel Po's Carnegie Hall Hamburg 1982 [Disco de Vinil],"R$227,43","4,3 de 5 estrelas"
Blue Notes Part Two [Disco de Vinil],"R$239,80",-1
Circuits,"R$207,05","4,4 de 5 estrelas"
1958 Miles (Limited 180G Red Virgin Vinyl/2 Bonus Tracks) [Disco de Vinil],"R$163,17","4,5 de 5 estrelas"
Fairgrounds [Disco de Vinil],"R$186,04","5,0 de 5 estrelas"
Modern Jazz Dance Classics Volume One [Disco de Vinil],"R$226,89",-1
California Spirit (With Bill Champlin) [Disco de Vinil],"R$196,83",-1
Africa / Brass [Disco de Vinil],"R$187,65",-1
Little Girl Blue [Disco de Vinil],"R$206,01","4,7 de 5 estrelas"
Songs & Photographs [Disco de Vinil],"R$694,97","5,0 de 5 estrelas"
Monk's Music [Disco de Vinil],"R$177,45","4,5 de 5 estrelas"
Sentiments [Disco de Vinil],"R$147,61","5,0 de 5 estrelas"
Snake Decides [Disco de Vinil],"R$272,10","2,0 de 5 estrelas"
California Dreaming,"R$187,65","4,6 de 5 estrelas"
Coleman Hawkins Encounters Ben Webster,"R$178,47","4,8 de 5 estrelas"
Wish Someone Would Care [Disco de Vinil],"R$150,93","5,0 de 5 estrelas"
Laid Black [Disco de Vinil],"R$219,27","4,5 de 5 estrelas"
New Hymn To Freedom [Disco de Vinil],"R$193,11",-1
Extra Soul Perception [Disco de Vinil],"R$227,43","1,0 de 5 estrelas"
Anthem [Disco de Vinil],"R$285,34","4,3 de 5 estrelas"
Both Directions At Once: The Lost Album,"R$210,02","4,6 de 5 estrelas"
Vanished Gardens (Feat. Lucinda Williams),"R$285,34","4,4 de 5 estrelas"
Ella At Zardi's [Disco de Vinil],"R$195,81","4,6 de 5 estrelas"
Juan Pablo: The Philosopher [Disco de Vinil],"R$143,41","5,0 de 5 estrelas"
Live In Frankfurt 82 [Disco de Vinil],"R$213,15",-1
Awakening [Disco de Vinil],"R$223,35","4,7 de 5 estrelas"
Empyrean Isles [Disco de Vinil],"R$183,57","4,5 de 5 estrelas"
Head Hunters [Disco de Vinil],"R$375,65","4,7 de 5 estrelas"
Dance Of The Demons [Disco de Vinil],"R$194,56",-1
Nightconcert [Disco de Vinil],"R$293,73","4,7 de 5 estrelas"
Monk [Disco de Vinil],"R$138,82","5,0 de 5 estrelas"
Hollywood Africans [Disco de Vinil],"R$216,56","4,8 de 5 estrelas"
